timestep,mean_reward_last_100,mean_episode_length_last_100
1000,4388.07,5.21
2000,4888.707,6.23
3000,5342.0127,5.45
4000,5557.9644,5.09
5000,2952.4463,5.3
6000,4083.1235,5.47
7000,6271.638,5.42
8000,5594.4043,4.95
9000,6521.885,5.04
10000,6154.323,5.08
11000,4272.948,5.12
12000,4662.6396,5.13
13000,4911.83,4.75
14000,4527.7075,5.43
15000,4957.352,4.73
16000,3734.6404,5.23
17000,6049.6143,5.23
18000,4371.7446,4.9
19000,4798.942,4.85
20000,4340.4146,4.58
21000,5976.48,5.86
22000,4990.119,4.87
23000,5927.178,4.99
24000,4508.1846,4.61
25000,4652.0854,5.23
26000,6276.6577,4.86
27000,5622.9844,4.95
28000,4700.2036,4.86
29000,3797.4368,5.07
30000,6722.208,5.26
31000,4216.444,4.56
32000,5489.7676,5.53
33000,5245.46,4.92
34000,5547.715,4.79
35000,5830.4346,5.0
36000,6028.0063,5.39
37000,6299.8564,5.22
38000,6542.6455,5.59
39000,5233.97,4.75
40000,3700.4204,5.59
41000,4143.024,5.03
42000,3781.225,5.55
43000,6259.6855,4.63
44000,3617.4724,5.44
45000,6048.49,5.5
46000,2612.7644,6.26
47000,3717.3718,4.63
48000,4452.511,5.95
49000,7051.1226,5.03
50000,7005.3164,5.34
51000,6168.1235,4.98
52000,5418.842,5.0
53000,5417.542,4.95
54000,5536.905,4.77
55000,4721.793,4.77
56000,5333.064,4.82
57000,5235.1587,4.78
58000,4057.5288,4.94
59000,4148.9014,5.45
60000,4879.5083,5.14
61000,5042.6367,5.44
62000,5607.223,5.45
63000,4866.9434,4.61
64000,5411.1167,6.15
65000,3760.132,5.93
66000,4833.6836,5.79
67000,4347.7803,5.17
68000,3675.017,7.33
69000,5456.639,6.05
70000,5503.781,9.66
71000,3938.855,8.19
72000,4665.9097,9.23
73000,3434.1138,8.28
74000,6994.179,13.05
75000,8033.768,20.47
76000,7951.5215,8.22
77000,10561.019,16.54
78000,11253.906,25.25
79000,11962.065,33.87
80000,11064.155,39.48
81000,10309.273,36.75
82000,12404.156,47.29
83000,13835.563,51.22
84000,14676.272,58.92
85000,17550.197,68.71
86000,19695.672,76.36
87000,20644.205,78.24
88000,23499.824,88.52
89000,23203.473,90.11
90000,25996.97,99.42
91000,28794.12,109.74
92000,31661.244,118.64
93000,34721.977,128.7
94000,35607.367,134.2
95000,34286.664,125.53
96000,35201.215,126.37
97000,30398.828,108.66
98000,25787.2,91.98
99000,28620.998,102.0
100000,31026.45,111.31
