timestep,mean_reward_last_100,mean_episode_length_last_100
1000,5948.085,5.52
2000,6061.325,5.33
3000,6487.9136,5.61
4000,5602.5073,5.36
5000,4389.051,5.07
6000,6838.911,5.49
7000,5204.261,5.45
8000,6090.823,5.42
9000,5381.66,5.39
10000,3713.4143,5.23
11000,5895.822,5.15
12000,5223.108,5.15
13000,5245.708,5.41
14000,4262.304,5.14
15000,2929.857,5.03
16000,5220.84,5.1
17000,5971.47,4.86
18000,5734.4824,4.98
19000,6511.9033,5.04
20000,5292.324,5.02
21000,4719.584,5.01
22000,5181.3867,5.12
23000,6250.0845,4.97
24000,4926.5127,4.81
25000,4225.779,4.85
26000,5535.082,5.1
27000,4685.438,4.64
28000,5717.2637,4.82
29000,4951.656,4.74
30000,6422.052,4.81
31000,5224.1357,5.28
32000,6107.2183,4.9
33000,5128.3945,4.55
34000,5857.121,4.81
35000,4934.9385,4.63
36000,4900.775,4.66
37000,4953.063,4.65
38000,4049.5806,4.68
39000,5097.281,4.81
40000,6449.6646,5.02
41000,6044.013,4.62
42000,5187.6514,4.45
43000,5308.205,4.83
44000,5748.3057,5.17
45000,6408.8867,4.93
46000,7552.0396,4.57
47000,5049.726,4.68
48000,3917.7002,4.7
49000,4652.1475,4.86
50000,4551.5874,4.73
51000,4555.7725,4.78
52000,5662.76,5.15
53000,3704.1213,4.64
54000,5239.129,4.97
55000,3996.426,4.48
56000,7692.8843,4.66
57000,4327.521,4.55
58000,4963.3477,4.97
59000,5917.0933,5.38
60000,4304.6616,5.52
61000,4913.599,5.89
62000,3745.6147,5.27
63000,5100.2085,5.12
64000,7539.502,5.52
65000,5701.4927,5.92
66000,4949.369,4.65
67000,7571.4795,6.03
68000,5753.162,4.52
69000,7135.3535,4.63
70000,4724.495,5.08
71000,4976.2593,6.53
72000,3812.845,5.78
73000,4642.145,5.84
74000,4775.0874,5.63
75000,3628.4856,6.37
76000,4489.446,6.01
77000,4833.7817,5.91
78000,3352.6487,4.42
79000,5126.7783,4.53
80000,5338.514,4.61
81000,3750.593,6.44
82000,4173.056,4.56
83000,4141.2383,6.33
84000,3518.5796,5.41
85000,3917.08,4.9
86000,2544.354,4.59
87000,4148.213,4.67
88000,5820.404,4.56
89000,4506.1978,4.55
90000,6082.4526,4.54
91000,5075.9316,4.65
92000,7213.4,4.69
93000,5091.873,4.78
94000,3955.3796,4.78
95000,4073.9238,4.52
96000,2878.065,5.07
97000,4558.987,4.6
98000,6492.689,4.6
99000,5499.634,4.58
100000,4520.7324,4.68
